sched,app,app_time
distributed,leanmd,117.586782
distributed,leanmd,115.442576
distributed,leanmd,118.222714
distributed,leanmd,112.979287
distributed,leanmd,117.514792
distributed,leanmd,121.826941
distributed,leanmd,116.254663
distributed,leanmd,112.667044
distributed,leanmd,120.614836
greedy,leanmd,1553.443562
greedy,leanmd,189.108289
greedy,leanmd,198.410112
greedy,leanmd,193.791046
greedy,leanmd,189.442946
greedy,leanmd,195.037182
greedy,leanmd,189.481243
greedy,leanmd,187.505683
greedy,leanmd,199.430899
nolb,leanmd,171.646673
nolb,leanmd,171.470474
nolb,leanmd,171.658804
nolb,leanmd,171.979526
nolb,leanmd,171.469699
nolb,leanmd,171.334709
nolb,leanmd,171.337944
nolb,leanmd,171.550692
nolb,leanmd,171.658688
packdrop,leanmd,111.530768
packdrop,leanmd,113.209654
packdrop,leanmd,112.148346
packdrop,leanmd,112.502697
packdrop,leanmd,113.878681
packdrop,leanmd,114.230691
packdrop,leanmd,113.998785
packdrop,leanmd,112.298914
refine,leanmd,116.821359
refine,leanmd,117.110668
refine,leanmd,117.730028
refine,leanmd,116.498686
refine,leanmd,118.042733
refine,leanmd,118.197813
refine,leanmd,118.056669
refine,leanmd,115.898953
