app,sched,plat_size,wildmetric,step_time
leanmd,Distributed,128,10,519.615889
leanmd,Distributed,128,10,574.259996
leanmd,Distributed,128,10,488.034010
leanmd,Distributed,128,10,246.970177
leanmd,Distributed,128,10,222.101927
leanmd,Distributed,128,10,200.986147
leanmd,Distributed,128,10,191.788912
leanmd,Distributed,128,10,158.529997
leanmd,Distributed,128,10,188.199997
leanmd,Distributed,128,10,211.486101
leanmd,Distributed,128,10,396.550894
leanmd,Distributed,128,10,236.125946
leanmd,Distributed,128,10,249.403000
leanmd,Distributed,128,10,270.597935
leanmd,Distributed,128,10,435.369015
leanmd,Distributed,128,10,201.146126
leanmd,Distributed,128,10,318.583965
leanmd,Distributed,128,10,176.761150
leanmd,Distributed,128,10,341.145039
leanmd,Distributed,128,10,173.056126
leanmd,Distributed,128,10,313.323975
leanmd,Distributed,128,10,218.626022
leanmd,Distributed,128,10,489.479065
leanmd,Distributed,128,10,194.615841
leanmd,Distributed,128,10,301.530123
leanmd,Distributed,128,10,191.920042
leanmd,Distributed,128,10,362.547159
leanmd,Distributed,128,10,167.208910
leanmd,Distributed,128,10,288.798094
leanmd,Distributed,128,10,154.808998
leanmd,Distributed,128,10,353.219986
leanmd,Distributed,128,10,173.575878
leanmd,Distributed,128,10,431.545973
leanmd,Distributed,128,10,235.306025
leanmd,Distributed,128,10,357.928991
leanmd,Distributed,128,10,172.631025
leanmd,Distributed,128,10,383.794069
leanmd,Distributed,128,10,140.657187
leanmd,Distributed,128,10,335.242987
leanmd,Distributed,128,10,154.983997
leanmd,Distributed,128,10,336.962938
leanmd,Distributed,128,10,180.649996
leanmd,Distributed,128,10,510.732889
leanmd,Distributed,128,10,191.402912
leanmd,Distributed,128,10,380.817890
leanmd,Distributed,128,10,112.379789
leanmd,Distributed,128,10,376.356840
leanmd,Distributed,128,10,125.321865
leanmd,Distributed,128,10,362.870932
leanmd,Distributed,128,10,75.526953
leanmd,Distributed,128,10,426.370859
leanmd,Distributed,128,10,172.603846
leanmd,Distributed,128,10,531.424999
leanmd,Distributed,128,10,191.772938
leanmd,Distributed,128,10,319.298983
leanmd,Distributed,128,10,153.116941
leanmd,Distributed,128,10,378.760815
leanmd,Distributed,128,10,147.528887
leanmd,Distributed,128,10,348.457813
leanmd,Distributed,128,10,145.852089
leanmd,Distributed,128,10,363.427877
leanmd,Distributed,128,10,176.966190
leanmd,Distributed,128,10,520.642996
leanmd,Distributed,128,10,180.266142
leanmd,Distributed,128,10,360.384941
leanmd,Distributed,128,10,141.670942
leanmd,Distributed,128,10,353.309870
leanmd,Distributed,128,10,152.092934
leanmd,Distributed,128,10,348.692894
leanmd,Distributed,128,10,91.472864
leanmd,Distributed,128,10,390.851974
leanmd,Distributed,128,10,175.774097
leanmd,Distributed,128,10,504.137039
leanmd,Distributed,128,10,194.093943
leanmd,Distributed,128,10,307.273149
leanmd,Distributed,128,10,185.678005
leanmd,Distributed,128,10,372.825146
leanmd,Distributed,128,10,154.556036
leanmd,Distributed,128,10,343.990803
leanmd,Distributed,128,10,138.903856
leanmd,Distributed,128,10,327.102184
leanmd,Distributed,128,10,180.459023
leanmd,Distributed,128,10,525.047064
leanmd,Distributed,128,10,183.803082
leanmd,Distributed,128,10,332.726955
leanmd,Distributed,128,10,155.937195
leanmd,Distributed,128,10,390.953064
leanmd,Distributed,128,10,134.913206
leanmd,Distributed,128,10,347.002983
leanmd,Distributed,128,10,97.111940
leanmd,Distributed,128,10,383.576155
leanmd,Distributed,128,10,173.398972
leanmd,Distributed,128,10,527.357101
leanmd,Distributed,128,10,180.750132
leanmd,Distributed,128,10,317.931890
leanmd,Distributed,128,10,169.282198
leanmd,Distributed,128,10,400.130033
leanmd,Distributed,128,10,131.582022
leanmd,Distributed,128,10,372.226954
leanmd,Distributed,128,10,175.579071
leanmd,Distributed,128,10,566.626072
leanmd,Distributed,128,10,541.961908
leanmd,Distributed,128,10,495.215893
leanmd,Distributed,128,10,194.681883
leanmd,Distributed,128,10,181.545019
leanmd,Distributed,128,10,166.402102
leanmd,Distributed,128,10,192.609072
leanmd,Distributed,128,10,190.219879
leanmd,Distributed,128,10,239.395857
leanmd,Distributed,128,10,231.969833
leanmd,Distributed,128,10,431.658983
leanmd,Distributed,128,10,240.338802
leanmd,Distributed,128,10,277.195930
leanmd,Distributed,128,10,283.879042
leanmd,Distributed,128,10,289.011002
leanmd,Distributed,128,10,301.599979
leanmd,Distributed,128,10,362.801075
leanmd,Distributed,128,10,174.015045
leanmd,Distributed,128,10,325.765848
leanmd,Distributed,128,10,137.881994
leanmd,Distributed,128,10,334.630013
leanmd,Distributed,128,10,179.209948
leanmd,Distributed,128,10,478.808165
leanmd,Distributed,128,10,209.339142
leanmd,Distributed,128,10,309.398890
leanmd,Distributed,128,10,180.194139
leanmd,Distributed,128,10,407.891989
leanmd,Distributed,128,10,113.098860
leanmd,Distributed,128,10,333.785057
leanmd,Distributed,128,10,97.438097
leanmd,Distributed,128,10,400.232077
leanmd,Distributed,128,10,174.488068
leanmd,Distributed,128,10,476.483107
leanmd,Distributed,128,10,212.738037
leanmd,Distributed,128,10,308.692217
leanmd,Distributed,128,10,176.859140
leanmd,Distributed,128,10,391.263008
leanmd,Distributed,128,10,129.311085
leanmd,Distributed,128,10,345.955133
leanmd,Distributed,128,10,154.081106
leanmd,Distributed,128,10,367.158890
leanmd,Distributed,128,10,152.481079
leanmd,Distributed,128,10,468.522072
leanmd,Distributed,128,10,212.646008
leanmd,Distributed,128,10,323.065996
leanmd,Distributed,128,10,187.468052
leanmd,Distributed,128,10,348.155975
leanmd,Distributed,128,10,147.814989
leanmd,Distributed,128,10,360.036850
leanmd,Distributed,128,10,79.622984
leanmd,Distributed,128,10,398.267031
leanmd,Distributed,128,10,174.089909
leanmd,Distributed,128,10,484.682083
leanmd,Distributed,128,10,206.515074
leanmd,Distributed,128,10,351.033926
leanmd,Distributed,128,10,142.390966
leanmd,Distributed,128,10,400.630951
leanmd,Distributed,128,10,122.692108
leanmd,Distributed,128,10,349.098921
leanmd,Distributed,128,10,142.469883
leanmd,Distributed,128,10,262.509823
leanmd,Distributed,128,10,255.658865
leanmd,Distributed,128,10,497.556210
leanmd,Distributed,128,10,205.416918
leanmd,Distributed,128,10,342.522860
leanmd,Distributed,128,10,147.868156
leanmd,Distributed,128,10,358.695030
leanmd,Distributed,128,10,136.620045
leanmd,Distributed,128,10,355.273962
leanmd,Distributed,128,10,74.471951
leanmd,Distributed,128,10,424.242973
leanmd,Distributed,128,10,177.685976
leanmd,Distributed,128,10,483.939886
leanmd,Distributed,128,10,203.022957
leanmd,Distributed,128,10,331.886053
leanmd,Distributed,128,10,132.961988
leanmd,Distributed,128,10,409.511089
leanmd,Distributed,128,10,134.260893
leanmd,Distributed,128,10,355.981112
leanmd,Distributed,128,10,154.395819
leanmd,Distributed,128,10,353.112936
leanmd,Distributed,128,10,173.402071
leanmd,Distributed,128,10,493.615866
leanmd,Distributed,128,10,206.680059
leanmd,Distributed,128,10,332.098961
leanmd,Distributed,128,10,161.266088
leanmd,Distributed,128,10,369.329214
leanmd,Distributed,128,10,143.189907
leanmd,Distributed,128,10,340.250015
leanmd,Distributed,128,10,80.309868
leanmd,Distributed,128,10,399.464846
leanmd,Distributed,128,10,172.904968
leanmd,Distributed,128,10,495.938063
leanmd,Distributed,128,10,200.523138
leanmd,Distributed,128,10,334.629059
leanmd,Distributed,128,10,144.388914
leanmd,Distributed,128,10,382.824898
leanmd,Distributed,128,10,145.588875
leanmd,Distributed,128,10,350.589991
leanmd,Distributed,128,10,177.003860
leanmd,Distributed,128,10,599.279165
leanmd,Distributed,128,10,494.473934
leanmd,Distributed,128,10,433.753967
leanmd,Distributed,128,10,259.752989
leanmd,Distributed,128,10,292.185783
leanmd,Distributed,128,10,196.501970
leanmd,Distributed,128,10,206.322908
leanmd,Distributed,128,10,171.376944
leanmd,Distributed,128,10,166.246891
leanmd,Distributed,128,10,193.187952
leanmd,Distributed,128,10,393.239975
leanmd,Distributed,128,10,256.350040
leanmd,Distributed,128,10,236.706972
leanmd,Distributed,128,10,260.298014
leanmd,Distributed,128,10,430.696964
leanmd,Distributed,128,10,217.998028
leanmd,Distributed,128,10,371.557951
leanmd,Distributed,128,10,142.563820
leanmd,Distributed,128,10,351.480961
leanmd,Distributed,128,10,167.347193
leanmd,Distributed,128,10,285.470009
leanmd,Distributed,128,10,222.457886
leanmd,Distributed,128,10,527.859926
leanmd,Distributed,128,10,173.707962
leanmd,Distributed,128,10,350.847006
leanmd,Distributed,128,10,132.863998
leanmd,Distributed,128,10,384.891033
leanmd,Distributed,128,10,127.667904
leanmd,Distributed,128,10,352.243185
leanmd,Distributed,128,10,121.508121
leanmd,Distributed,128,10,387.527943
leanmd,Distributed,128,10,164.927006
leanmd,Distributed,128,10,516.111851
leanmd,Distributed,128,10,180.454016
leanmd,Distributed,128,10,333.590031
leanmd,Distributed,128,10,153.290987
leanmd,Distributed,128,10,392.716885
leanmd,Distributed,128,10,122.852087
leanmd,Distributed,128,10,351.800919
leanmd,Distributed,128,10,143.161058
leanmd,Distributed,128,10,359.345913
leanmd,Distributed,128,10,171.432972
leanmd,Distributed,128,10,491.277933
leanmd,Distributed,128,10,193.788052
leanmd,Distributed,128,10,297.595024
leanmd,Distributed,128,10,186.708927
leanmd,Distributed,128,10,411.324978
leanmd,Distributed,128,10,133.417845
leanmd,Distributed,128,10,339.193106
leanmd,Distributed,128,10,84.740162
leanmd,Distributed,128,10,415.231943
