sched,app,period,app_time
dist,leanmd,long,27.461184
dist,leanmd,long,27.507483
dist,leanmd,long,27.767533
dist,leanmd,long,27.233058
dist,leanmd,long,27.325101
dist,leanmd,long,27.485241
dist,leanmd,long,27.648830
dist,leanmd,long,27.629445
dist,leanmd,long,27.711155
dist,leanmd,short,27.685071
dist,leanmd,short,27.596831
dist,leanmd,short,27.726705
dist,leanmd,short,27.664599
dist,leanmd,short,27.558003
dist,leanmd,short,27.757190
dist,leanmd,short,27.637462
dist,leanmd,short,27.709038
dist,leanmd,short,27.702734
dist,leanmd,short,27.652334
greedy,leanmd,long,73.415017
greedy,leanmd,long,72.690747
greedy,leanmd,long,72.849202
greedy,leanmd,long,72.936053
greedy,leanmd,long,72.636451
greedy,leanmd,long,72.935991
greedy,leanmd,long,72.788212
greedy,leanmd,long,72.529712
greedy,leanmd,long,72.676305
greedy,leanmd,short,118.518403
greedy,leanmd,short,118.189549
greedy,leanmd,short,118.587745
greedy,leanmd,short,118.081654
greedy,leanmd,short,118.159291
greedy,leanmd,short,118.174019
greedy,leanmd,short,118.611276
greedy,leanmd,short,118.179479
greedy,leanmd,short,118.296008
greedy,leanmd,short,118.538595
nolb,leanmd,long,29.511307
nolb,leanmd,long,29.562016
nolb,leanmd,long,29.462018
nolb,leanmd,long,29.463436
nolb,leanmd,long,29.516089
nolb,leanmd,long,29.294152
nolb,leanmd,long,29.476479
nolb,leanmd,long,29.419856
nolb,leanmd,long,29.455890
nolb,leanmd,short,33.999206
nolb,leanmd,short,34.155628
nolb,leanmd,short,34.139579
nolb,leanmd,short,34.047564
nolb,leanmd,short,33.984956
nolb,leanmd,short,34.098964
nolb,leanmd,short,34.067470
nolb,leanmd,short,34.052216
nolb,leanmd,short,34.052112
nolb,leanmd,short,34.000849
pdlb,leanmd,long,23.877671
pdlb,leanmd,long,23.775810
pdlb,leanmd,long,23.768057
pdlb,leanmd,long,23.644627
pdlb,leanmd,long,24.008732
pdlb,leanmd,long,23.905688
pdlb,leanmd,long,24.047584
pdlb,leanmd,long,23.826144
pdlb,leanmd,long,23.812381
pdlb,leanmd,short,23.982016
pdlb,leanmd,short,24.000646
pdlb,leanmd,short,23.696440
pdlb,leanmd,short,23.775335
pdlb,leanmd,short,23.882101
pdlb,leanmd,short,23.906628
pdlb,leanmd,short,23.892335
pdlb,leanmd,short,23.840558
pdlb,leanmd,short,23.741640
pdlb,leanmd,short,23.910410
refine,leanmd,long,26.831536
refine,leanmd,long,26.954439
refine,leanmd,long,26.857747
refine,leanmd,long,27.065268
refine,leanmd,long,27.271136
refine,leanmd,long,27.021457
refine,leanmd,long,26.992050
refine,leanmd,long,26.309850
refine,leanmd,long,26.697123
refine,leanmd,short,31.642883
refine,leanmd,short,31.820342
refine,leanmd,short,31.694728
refine,leanmd,short,31.752947
refine,leanmd,short,31.582608
refine,leanmd,short,31.837862
refine,leanmd,short,31.642774
refine,leanmd,short,31.756140
refine,leanmd,short,31.852113
refine,leanmd,short,31.629152
