sched,app,period,step_time
dist,leanmd,long,1418.038845
dist,leanmd,long,1251.207113
dist,leanmd,long,2154.417038
dist,leanmd,long,1164.958000
dist,leanmd,long,796.122074
dist,leanmd,long,1861.213923
dist,leanmd,long,1104.094028
dist,leanmd,long,1204.245090
dist,leanmd,long,1721.051216
dist,leanmd,long,579.782009
dist,leanmd,long,627.706051
dist,leanmd,long,457.119942
dist,leanmd,long,506.453991
dist,leanmd,long,217.581987
dist,leanmd,long,198.395967
dist,leanmd,long,201.731920
dist,leanmd,long,125.417948
dist,leanmd,long,204.825878
dist,leanmd,long,235.295773
dist,leanmd,long,234.367132
dist,leanmd,long,369.076014
dist,leanmd,long,246.267080
dist,leanmd,long,227.211952
dist,leanmd,long,288.907766
dist,leanmd,long,369.359016
dist,leanmd,long,271.342993
dist,leanmd,long,324.728012
dist,leanmd,long,207.294941
dist,leanmd,long,313.225985
dist,leanmd,long,245.969057
dist,leanmd,long,256.898880
dist,leanmd,long,228.430033
dist,leanmd,long,354.723930
dist,leanmd,long,148.000956
dist,leanmd,long,250.002146
dist,leanmd,long,138.446093
dist,leanmd,long,443.341017
dist,leanmd,long,292.348862
dist,leanmd,long,411.332130
dist,leanmd,long,125.892878
dist,leanmd,long,311.919928
dist,leanmd,long,164.242983
dist,leanmd,long,352.802992
dist,leanmd,long,118.236065
dist,leanmd,long,388.882160
dist,leanmd,long,139.973879
dist,leanmd,long,358.514071
dist,leanmd,long,163.484097
dist,leanmd,long,309.595108
dist,leanmd,long,151.868105
dist,leanmd,long,313.674927
dist,leanmd,long,268.008947
dist,leanmd,long,367.443085
dist,leanmd,long,169.108868
dist,leanmd,long,334.316969
dist,leanmd,long,169.606209
dist,leanmd,long,288.008928
dist,leanmd,long,241.870165
dist,leanmd,long,459.280014
dist,leanmd,long,120.371103
dist,leanmd,long,346.223116
dist,leanmd,long,178.621054
dist,leanmd,long,224.020958
dist,leanmd,long,214.293957
dist,leanmd,long,262.390137
dist,leanmd,long,269.705057
dist,leanmd,long,378.478050
dist,leanmd,long,283.411026
dist,leanmd,long,389.808178
dist,leanmd,long,113.013029
dist,leanmd,long,173.779964
dist,leanmd,long,384.893179
dist,leanmd,long,433.085203
dist,leanmd,long,63.901186
dist,leanmd,long,459.597111
dist,leanmd,long,58.503151
dist,leanmd,long,209.329128
dist,leanmd,long,251.471043
dist,leanmd,long,286.205053
dist,leanmd,long,269.069195
dist,leanmd,long,377.717972
dist,leanmd,long,312.162876
dist,leanmd,long,352.507114
dist,leanmd,long,177.260876
dist,leanmd,long,252.837896
dist,leanmd,long,300.966978
dist,leanmd,long,236.303806
dist,leanmd,long,282.745838
dist,leanmd,long,244.042873
dist,leanmd,long,361.025095
dist,leanmd,long,337.806940
dist,leanmd,long,220.520020
dist,leanmd,long,209.247828
dist,leanmd,long,339.613914
dist,leanmd,long,303.632975
dist,leanmd,long,191.998959
dist,leanmd,long,297.251940
dist,leanmd,long,269.716978
dist,leanmd,long,299.621105
dist,leanmd,long,265.750885
dist,leanmd,long,303.242922
dist,leanmd,long,268.441916
dist,leanmd,long,248.857021
dist,leanmd,long,327.129126
dist,leanmd,long,513.071775
dist,leanmd,long,53.945780
dist,leanmd,long,456.711054
dist,leanmd,long,93.456984
dist,leanmd,long,474.327087
dist,leanmd,long,66.702127
dist,leanmd,long,780.429840
dist,leanmd,long,341.690063
dist,leanmd,long,516.609907
dist,leanmd,long,223.748922
dist,leanmd,long,212.649107
dist,leanmd,long,197.767973
dist,leanmd,long,149.531841
dist,leanmd,long,168.347120
dist,leanmd,long,198.001862
dist,leanmd,long,205.949068
dist,leanmd,long,394.732952
dist,leanmd,long,288.846016
dist,leanmd,long,217.722178
dist,leanmd,long,255.021095
dist,leanmd,long,335.592985
dist,leanmd,long,289.275885
dist,leanmd,long,282.115936
dist,leanmd,long,246.694088
dist,leanmd,long,299.088955
dist,leanmd,long,275.033951
dist,leanmd,long,330.860853
dist,leanmd,long,181.419134
dist,leanmd,long,368.163109
dist,leanmd,long,139.023066
dist,leanmd,long,373.354197
dist,leanmd,long,129.101038
dist,leanmd,long,380.244970
dist,leanmd,long,146.905899
dist,leanmd,long,361.062050
dist,leanmd,long,147.011995
dist,leanmd,long,366.367102
dist,leanmd,long,150.985003
dist,leanmd,long,394.451857
dist,leanmd,long,121.036053
dist,leanmd,long,383.620024
dist,leanmd,long,148.895979
dist,leanmd,long,414.195061
dist,leanmd,long,135.419846
dist,leanmd,long,305.018187
dist,leanmd,long,160.765171
dist,leanmd,long,466.294050
dist,leanmd,long,95.275879
dist,leanmd,long,333.642960
dist,leanmd,long,210.926056
dist,leanmd,long,422.905922
dist,leanmd,long,133.378029
dist,leanmd,long,421.772003
dist,leanmd,long,62.292099
dist,leanmd,long,271.446228
dist,leanmd,long,284.373045
dist,leanmd,long,341.412067
dist,leanmd,long,132.055998
dist,leanmd,long,354.635000
dist,leanmd,long,252.945900
dist,leanmd,long,284.982920
dist,leanmd,long,284.698009
dist,leanmd,long,241.780043
dist,leanmd,long,270.545006
dist,leanmd,long,289.630175
dist,leanmd,long,332.074881
dist,leanmd,long,247.802973
dist,leanmd,long,218.729019
dist,leanmd,long,299.755812
dist,leanmd,long,268.689156
dist,leanmd,long,267.233133
dist,leanmd,long,270.025969
dist,leanmd,long,273.787975
dist,leanmd,long,293.360949
dist,leanmd,long,274.060011
dist,leanmd,long,206.334829
dist,leanmd,long,425.839901
dist,leanmd,long,301.324129
dist,leanmd,long,261.416912
dist,leanmd,long,301.446915
dist,leanmd,long,240.259171
dist,leanmd,long,251.892805
dist,leanmd,long,259.666204
dist,leanmd,long,300.175905
dist,leanmd,long,223.898888
dist,leanmd,long,358.546019
dist,leanmd,long,174.320936
dist,leanmd,long,225.414991
dist,leanmd,long,328.431129
dist,leanmd,long,207.752943
dist,leanmd,long,320.841074
dist,leanmd,long,319.965124
dist,leanmd,long,227.475882
dist,leanmd,long,320.109129
dist,leanmd,long,203.465939
dist,leanmd,long,340.909004
dist,leanmd,long,452.170134
dist,leanmd,long,163.398981
dist,leanmd,long,376.117945
dist,leanmd,long,147.871017
dist,leanmd,long,343.084812
dist,leanmd,long,170.274019
dist,leanmd,long,325.363874
dist,leanmd,long,190.140009
dist,leanmd,long,280.043840
dist,leanmd,long,288.283110
dist,leanmd,long,705.710173
dist,leanmd,long,385.154009
dist,leanmd,long,386.071205
dist,leanmd,long,370.082855
dist,leanmd,long,217.767000
dist,leanmd,long,201.729059
dist,leanmd,long,191.369057
dist,leanmd,long,187.888861
dist,leanmd,long,177.145958
dist,leanmd,long,161.154985
dist,leanmd,long,419.117212
dist,leanmd,long,239.301920
dist,leanmd,long,250.922918
dist,leanmd,long,294.407129
dist,leanmd,long,282.518864
dist,leanmd,long,292.262077
dist,leanmd,long,352.954865
dist,leanmd,long,200.922966
dist,leanmd,long,312.760115
dist,leanmd,long,263.957024
dist,leanmd,long,335.829973
dist,leanmd,long,166.782856
dist,leanmd,long,378.170013
dist,leanmd,long,156.296968
dist,leanmd,long,368.148088
dist,leanmd,long,126.123905
dist,leanmd,long,381.094933
dist,leanmd,long,125.504017
dist,leanmd,long,374.017954
dist,leanmd,long,138.175964
dist,leanmd,long,368.960857
dist,leanmd,long,138.399839
dist,leanmd,long,386.238098
dist,leanmd,long,127.802134
dist,leanmd,long,390.769005
dist,leanmd,long,128.343105
dist,leanmd,long,377.047062
dist,leanmd,long,137.439966
dist,leanmd,long,349.694014
dist,leanmd,long,150.031805
dist,leanmd,long,489.140034
dist,leanmd,long,105.836153
dist,leanmd,long,286.822796
dist,leanmd,long,271.838903
dist,leanmd,long,261.687040
dist,leanmd,long,275.186062
dist,leanmd,long,405.107975
dist,leanmd,long,133.250952
dist,leanmd,long,215.641975
dist,leanmd,long,273.791075
dist,leanmd,long,292.191029
dist,leanmd,long,250.602961
dist,leanmd,long,286.679029
dist,leanmd,long,284.931898
dist,leanmd,long,286.090851
dist,leanmd,long,299.361944
dist,leanmd,long,490.386963
dist,leanmd,long,57.682037
dist,leanmd,long,223.649979
dist,leanmd,long,329.957008
dist,leanmd,long,271.349907
dist,leanmd,long,288.516045
dist,leanmd,long,280.230999
dist,leanmd,long,224.186897
dist,leanmd,long,437.687874
dist,leanmd,long,118.246078
dist,leanmd,long,490.372896
