sched,app,step_time
distributed,leanmd,2901.149988
distributed,leanmd,1493.242025
distributed,leanmd,2231.834888
distributed,leanmd,1117.053986
distributed,leanmd,1802.865028
distributed,leanmd,1651.301146
distributed,leanmd,1619.328976
distributed,leanmd,1583.454847
distributed,leanmd,1584.236145
distributed,leanmd,1405.219793
distributed,leanmd,1761.533976
distributed,leanmd,864.521027
distributed,leanmd,1797.401905
distributed,leanmd,1334.868908
distributed,leanmd,2629.069090
distributed,leanmd,645.393133
distributed,leanmd,1983.722925
distributed,leanmd,1099.480867
distributed,leanmd,1835.479975
distributed,leanmd,1501.405954
distributed,leanmd,1980.524778
distributed,leanmd,417.917967
distributed,leanmd,1486.389875
distributed,leanmd,816.966057
distributed,leanmd,1622.664928
distributed,leanmd,681.513071
distributed,leanmd,1584.313869
distributed,leanmd,792.647123
distributed,leanmd,1584.636927
distributed,leanmd,1079.442978
distributed,leanmd,1798.450947
distributed,leanmd,626.132011
distributed,leanmd,1751.543999
distributed,leanmd,144.117117
distributed,leanmd,1547.213793
distributed,leanmd,788.614988
distributed,leanmd,1229.072094
distributed,leanmd,826.862812
distributed,leanmd,1438.192844
distributed,leanmd,599.708080
distributed,leanmd,1955.801010
distributed,leanmd,263.971090
distributed,leanmd,1365.350008
distributed,leanmd,684.377909
distributed,leanmd,1369.743109
distributed,leanmd,648.605108
distributed,leanmd,1582.909107
distributed,leanmd,719.313860
distributed,leanmd,1262.603998
distributed,leanmd,395.211935
distributed,leanmd,1436.923981
distributed,leanmd,889.472008
distributed,leanmd,1424.654961
distributed,leanmd,496.279001
distributed,leanmd,1125.972986
distributed,leanmd,1030.303955
distributed,leanmd,1331.663847
distributed,leanmd,504.110813
distributed,leanmd,1200.526953
distributed,leanmd,684.820890
distributed,leanmd,1906.581879
distributed,leanmd,431.643009
distributed,leanmd,1511.740923
distributed,leanmd,547.407866
distributed,leanmd,1349.356174
distributed,leanmd,445.480824
distributed,leanmd,1547.403097
distributed,leanmd,649.333954
distributed,leanmd,1007.334948
distributed,leanmd,611.439943
distributed,leanmd,1493.016005
distributed,leanmd,984.478951
distributed,leanmd,1310.589075
distributed,leanmd,911.363840
distributed,leanmd,1575.769901
distributed,leanmd,179.239988
distributed,leanmd,1405.007124
distributed,leanmd,970.701933
distributed,leanmd,1150.185823
distributed,leanmd,505.838156
distributed,leanmd,1724.631071
distributed,leanmd,878.057957
distributed,leanmd,1678.653955
distributed,leanmd,430.365801
distributed,leanmd,1764.826059
distributed,leanmd,359.143972
distributed,leanmd,1331.459999
distributed,leanmd,616.226912
distributed,leanmd,1328.224182
distributed,leanmd,358.412027
distributed,leanmd,1797.792912
distributed,leanmd,319.311142
distributed,leanmd,1557.276964
distributed,leanmd,789.857149
distributed,leanmd,1379.817963
distributed,leanmd,579.757929
distributed,leanmd,1435.265064
distributed,leanmd,470.948935
distributed,leanmd,1689.489126
distributed,leanmd,324.698925
distributed,leanmd,2984.062195
distributed,leanmd,1196.428061
distributed,leanmd,2237.112999
distributed,leanmd,1326.857090
distributed,leanmd,1718.973160
distributed,leanmd,1587.778091
distributed,leanmd,1587.474108
distributed,leanmd,1583.501816
distributed,leanmd,1586.691856
distributed,leanmd,1473.798990
distributed,leanmd,1554.049015
distributed,leanmd,1901.618004
distributed,leanmd,902.398109
distributed,leanmd,1725.728035
distributed,leanmd,1703.240156
distributed,leanmd,1261.109829
distributed,leanmd,1871.876001
distributed,leanmd,1221.415043
distributed,leanmd,1838.365078
distributed,leanmd,1643.242121
distributed,leanmd,1879.209995
distributed,leanmd,463.598967
distributed,leanmd,1549.026012
distributed,leanmd,619.251966
distributed,leanmd,1644.340992
distributed,leanmd,914.283991
distributed,leanmd,1185.743093
distributed,leanmd,719.832182
distributed,leanmd,1368.009090
distributed,leanmd,792.281866
distributed,leanmd,1727.387905
distributed,leanmd,828.547955
distributed,leanmd,1458.911896
distributed,leanmd,409.609079
distributed,leanmd,1407.080173
distributed,leanmd,756.599188
distributed,leanmd,992.040873
distributed,leanmd,765.924931
distributed,leanmd,1346.822977
distributed,leanmd,686.568022
distributed,leanmd,1382.990837
distributed,leanmd,758.956909
distributed,leanmd,1525.115967
distributed,leanmd,654.980898
distributed,leanmd,1326.861858
distributed,leanmd,431.265116
distributed,leanmd,1295.167923
distributed,leanmd,540.583134
distributed,leanmd,1620.208979
distributed,leanmd,430.634022
distributed,leanmd,1803.967953
distributed,leanmd,503.587008
distributed,leanmd,1358.942032
distributed,leanmd,631.595135
distributed,leanmd,1474.216938
distributed,leanmd,816.076994
distributed,leanmd,1334.527016
distributed,leanmd,1194.963932
distributed,leanmd,974.739075
distributed,leanmd,339.532852
distributed,leanmd,1333.729029
distributed,leanmd,844.439983
distributed,leanmd,1368.289232
distributed,leanmd,396.295071
distributed,leanmd,1582.985878
distributed,leanmd,512.659788
distributed,leanmd,1466.846943
distributed,leanmd,546.545982
distributed,leanmd,1506.637812
distributed,leanmd,215.048790
distributed,leanmd,2142.827034
distributed,leanmd,720.484018
distributed,leanmd,1357.910872
distributed,leanmd,326.479912
distributed,leanmd,1657.388926
distributed,leanmd,357.129812
distributed,leanmd,1404.953003
distributed,leanmd,286.952019
distributed,leanmd,1476.589918
distributed,leanmd,613.173962
distributed,leanmd,2013.859987
distributed,leanmd,586.186886
distributed,leanmd,1351.689100
distributed,leanmd,131.740093
distributed,leanmd,1225.872993
distributed,leanmd,522.207975
distributed,leanmd,1397.094011
distributed,leanmd,548.809052
distributed,leanmd,1697.443008
distributed,leanmd,398.098946
distributed,leanmd,1881.844044
distributed,leanmd,491.445065
distributed,leanmd,1552.905083
distributed,leanmd,315.027952
distributed,leanmd,1631.677151
distributed,leanmd,569.606066
distributed,leanmd,1438.631058
distributed,leanmd,436.101913
distributed,leanmd,1294.240952
distributed,leanmd,736.088037
distributed,leanmd,3109.333992
distributed,leanmd,1305.977106
distributed,leanmd,2089.408875
distributed,leanmd,1186.658859
distributed,leanmd,1838.302135
distributed,leanmd,1629.784107
distributed,leanmd,1586.198092
distributed,leanmd,1604.746103
distributed,leanmd,1597.247839
distributed,leanmd,1450.554848
distributed,leanmd,1460.361004
distributed,leanmd,1193.984985
distributed,leanmd,1712.829113
distributed,leanmd,1275.748014
distributed,leanmd,2049.565077
distributed,leanmd,1426.507950
