app,sched,plat_size,wildmetric,app_time
leanmd,Distributed,128,30,69.787052
leanmd,Distributed,128,30,69.127645
leanmd,Distributed,128,30,69.176747
leanmd,Distributed,128,30,69.080348
leanmd,Distributed,128,30,69.431355
leanmd,Distributed,128,30,69.341000
leanmd,Distributed,128,30,69.371126
leanmd,Distributed,128,30,69.536205
leanmd,Distributed,128,30,69.063443
leanmd,Distributed,128,30,70.931757
leanmd,PackDrop,128,60,55.278129
leanmd,PackDrop,128,60,55.990692
leanmd,PackDrop,128,60,56.177758
leanmd,PackDrop,128,60,55.562809
leanmd,PackDrop,128,60,55.378899
leanmd,PackDrop,128,60,55.305262
leanmd,PackDrop,128,60,55.074545
leanmd,PackDrop,128,60,55.261531
leanmd,PackDrop,128,60,55.506984
leanmd,PackDrop,128,60,55.618801
leanmd,Refine,128,30,59.882835
leanmd,Refine,128,30,59.386764
leanmd,Refine,128,30,59.320692
leanmd,Refine,128,30,59.250292
leanmd,Refine,128,30,59.475487
leanmd,Refine,128,30,59.374982
leanmd,Refine,128,30,59.348855
leanmd,Refine,128,30,59.162657
leanmd,Refine,128,30,59.122534
leanmd,Refine,128,30,59.244508
leanmd,Distributed,128,60,68.647815
leanmd,Distributed,128,60,68.881558
leanmd,Distributed,128,60,67.759658
leanmd,Distributed,128,60,68.398048
leanmd,Distributed,128,60,68.015006
leanmd,Distributed,128,60,68.576995
leanmd,Distributed,128,60,68.298311
leanmd,Distributed,128,60,68.711071
leanmd,Distributed,128,60,67.892304
leanmd,Distributed,128,60,68.424729
leanmd,Distributed,128,30,69.787052
leanmd,Distributed,128,30,69.127645
leanmd,Distributed,128,30,69.176747
leanmd,Distributed,128,30,69.080348
leanmd,Distributed,128,30,69.431355
leanmd,Distributed,128,30,69.341000
leanmd,Distributed,128,30,69.371126
leanmd,Distributed,128,30,69.536205
leanmd,Distributed,128,30,69.063443
leanmd,Distributed,128,30,70.931757
leanmd,PackDrop,128,60,55.278129
leanmd,PackDrop,128,60,55.990692
leanmd,PackDrop,128,60,56.177758
leanmd,PackDrop,128,60,55.562809
leanmd,PackDrop,128,60,55.378899
leanmd,PackDrop,128,60,55.305262
leanmd,PackDrop,128,60,55.074545
leanmd,PackDrop,128,60,55.261531
leanmd,PackDrop,128,60,55.506984
leanmd,PackDrop,128,60,55.618801
leanmd,Refine,128,30,59.882835
leanmd,Refine,128,30,59.386764
leanmd,Refine,128,30,59.320692
leanmd,Refine,128,30,59.250292
leanmd,Refine,128,30,59.475487
leanmd,Refine,128,30,59.374982
leanmd,Refine,128,30,59.348855
leanmd,Refine,128,30,59.162657
leanmd,Refine,128,30,59.122534
leanmd,Refine,128,30,59.244508
leanmd,Distributed,128,60,68.647815
leanmd,Distributed,128,60,68.881558
leanmd,Distributed,128,60,67.759658
leanmd,Distributed,128,60,68.398048
leanmd,Distributed,128,60,68.015006
leanmd,Distributed,128,60,68.576995
leanmd,Distributed,128,60,68.298311
leanmd,Distributed,128,60,68.711071
leanmd,Distributed,128,60,67.892304
leanmd,Distributed,128,60,68.424729
leanmd,Dummy,288,30,54.928961
leanmd,Dummy,288,30,55.020211
leanmd,Dummy,288,30,54.811840
leanmd,Dummy,288,30,54.746726
leanmd,Dummy,288,30,55.065805
leanmd,Dummy,288,30,54.946259
